degradation,treatment,components,rates
Degraded,SO - D. nagchana,ln.k6,0.01248328057569788
Degraded,Mixture of three (1G+1L+1O),om.k6,1.053156308147841e-4
Degraded,Mixture of three (1G+1L+1O),c.k6,0.003391623100296915
Degraded,Mixture of three (1G+1L+1O),n.k6,0.015412553957820376
Degraded,Mixture of three (1G+1L+1O),hemi.k6,0.006346410299217799
Degraded,Mixture of three (1G+1L+1O),cell.k6,0.008117320734668147
Degraded,Mixture of three (1G+1L+1O),lig.k6,0.008473341513833166
Degraded,Mixture of three (1G+1L+1O),cn.k6,0.008764991987276372
Degraded,Mixture of three (1G+1L+1O),ln.k6,0.013846710400812623
Degraded,Mixture of nine (3G+3L+3O),om.k6,1.475833006586249e-4
Degraded,Mixture of nine (3G+3L+3O),c.k6,0.0034417421943130112
Degraded,Mixture of nine (3G+3L+3O),n.k6,0.015907829565808933
Degraded,Mixture of nine (3G+3L+3O),hemi.k6,0.0069889965116689936
Degraded,Mixture of nine (3G+3L+3O),cell.k6,0.0076553993590371796
Degraded,Mixture of nine (3G+3L+3O),lig.k6,0.008091115312320506
Degraded,Mixture of nine (3G+3L+3O),cn.k6,0.00838689534793987
Degraded,Mixture of nine (3G+3L+3O),ln.k6,0.01303626846594736
Degraded,SG - P. clandestinum,om.k6,3.9885860046109007e-4
Degraded,SG - P. clandestinum,c.k6,0.0039060858543931475
Degraded,SG - P. clandestinum,n.k6,0.018284865280452558
Degraded,SG - P. clandestinum,hemi.k6,0.004948799174058669
Degraded,SG - P. clandestinum,cell.k6,0.006788294592399478
Degraded,SG - P. clandestinum,lig.k6,0.009621835099758896
Degraded,SG - P. clandestinum,cn.k6,0.006504829400407488
Degraded,SG - P. clandestinum,ln.k6,0.012220578645773235
Degraded,SL - A. glucameus,om.k6,1.7574294727685345e-4
Degraded,SL - A. glucameus,c.k6,0.0033750422260275447
Degraded,SL - A. glucameus,n.k6,0.014940729852804133
Degraded,SL - A. glucameus,hemi.k6,0.00803394654827672
Degraded,SL - A. glucameus,cell.k6,0.009453470513482878
Degraded,SL - A. glucameus,lig.k6,0.007852424057538474
Degraded,SL - A. glucameus,cn.k6,0.009292413533898782
Degraded,SL - A. glucameus,ln.k6,0.01376979536540971
Degraded,SO - D. nagchana,om.k6,4.2400100593932246e-4
Degraded,SO - D. nagchana,c.k6,0.003624729990398121
Degraded,SO - D. nagchana,n.k6,0.015049013348190391
Degraded,SO - D. nagchana,hemi.k6,0.007731836831257535
Degraded,SO - D. nagchana,cell.k6,0.009070384550046346
Degraded,SO - D. nagchana,lig.k6,0.007129272878696532
Degraded,SO - D. nagchana,cn.k6,0.009181516760743535
Degraded,SO - D. nagchana,ln.k6,0.012686059649041945
Degraded,Mixture of three (1G+1L+1O),om.k6,7.694920417465064e-4
Degraded,Mixture of three (1G+1L+1O),c.k6,0.0040473631810775896
Degraded,Mixture of three (1G+1L+1O),n.k6,0.015372120254261325
Degraded,Mixture of three (1G+1L+1O),hemi.k6,0.0076118571274323655
Degraded,Mixture of three (1G+1L+1O),cell.k6,0.009847547405258705
Degraded,Mixture of three (1G+1L+1O),lig.k6,0.007316017859177912
Degraded,Mixture of three (1G+1L+1O),cn.k6,0.009461165771616093
Degraded,Mixture of three (1G+1L+1O),ln.k6,0.012729820449716416
Degraded,Mixture of nine (3G+3L+3O),om.k6,4.170984753867248e-4
Degraded,Mixture of nine (3G+3L+3O),c.k6,0.0036711459066766493
Degraded,Mixture of nine (3G+3L+3O),n.k6,0.015891947458879355
Degraded,Mixture of nine (3G+3L+3O),hemi.k6,0.0072639962632634865
Degraded,Mixture of nine (3G+3L+3O),cell.k6,0.008352493956755492
Degraded,Mixture of nine (3G+3L+3O),lig.k6,0.007208376574755605
Degraded,Mixture of nine (3G+3L+3O),cn.k6,0.008632181167233086
Degraded,Mixture of nine (3G+3L+3O),ln.k6,0.012169411835312042
Equilibrium,SG - P. clandestinum,om.k6,3.980319803296721e-4
Equilibrium,SG - P. clandestinum,c.k6,0.0038917955869231333
Equilibrium,SG - P. clandestinum,n.k6,0.01755576194077929
Equilibrium,SG - P. clandestinum,hemi.k6,0.005612301857329287
Equilibrium,SG - P. clandestinum,cell.k6,0.0075153473502717425
Equilibrium,SG - P. clandestinum,lig.k6,0.008650467994659848
Equilibrium,SG - P. clandestinum,cn.k6,0.00721964247261074
Equilibrium,SG - P. clandestinum,ln.k6,0.011978314880347455
Equilibrium,SL - A. glucameus,om.k6,2.830570853197396e-4
Equilibrium,SL - A. glucameus,c.k6,0.0034436305861439355
Equilibrium,SL - A. glucameus,n.k6,0.015203380244334368
Equilibrium,SL - A. glucameus,hemi.k6,0.010586255626593682
Equilibrium,SL - A. glucameus,cell.k6,0.011154308400755215
Equilibrium,SL - A. glucameus,lig.k6,0.009218736477064723
Equilibrium,SL - A. glucameus,cn.k6,0.009098351502484938
Equilibrium,SL - A. glucameus,ln.k6,0.014873457393405726
Equilibrium,SO - D. nagchana,om.k6,4.238631574417092e-4
Equilibrium,SO - D. nagchana,c.k6,0.003599152837887274
Equilibrium,SO - D. nagchana,n.k6,0.015273221183788549
Equilibrium,SO - D. nagchana,hemi.k6,0.008691269522810883
Equilibrium,SO - D. nagchana,cell.k6,0.008839875298309867
Equilibrium,SO - D. nagchana,lig.k6,0.007366754675866955
Equilibrium,SO - D. nagchana,cn.k6,0.008931731772634531
Equilibrium,SO - D. nagchana,ln.k6,0.01269933361061421
Equilibrium,Mixture of three (1G+1L+1O),om.k6,3.581599000799779e-4
Equilibrium,Mixture of three (1G+1L+1O),c.k6,0.003672725068826431
Equilibrium,Mixture of three (1G+1L+1O),n.k6,0.015285236483786106
Equilibrium,Mixture of three (1G+1L+1O),hemi.k6,0.008002060249736698
Equilibrium,Mixture of three (1G+1L+1O),cell.k6,0.00956284702502299
Equilibrium,Mixture of three (1G+1L+1O),lig.k6,0.008157080761481085
Equilibrium,Mixture of three (1G+1L+1O),cn.k6,0.009173411429840156
Equilibrium,Mixture of three (1G+1L+1O),ln.k6,0.013657767122494809
Equilibrium,Mixture of nine (3G+3L+3O),om.k6,4.4368810904778965e-4
Equilibrium,Mixture of nine (3G+3L+3O),c.k6,0.003784105629420683
Equilibrium,Mixture of nine (3G+3L+3O),n.k6,0.015839919743686783
Equilibrium,Mixture of nine (3G+3L+3O),hemi.k6,0.008378555493376908
Equilibrium,Mixture of nine (3G+3L+3O),cell.k6,0.00858808441474483
Equilibrium,Mixture of nine (3G+3L+3O),lig.k6,0.007080265420262899
Equilibrium,Mixture of nine (3G+3L+3O),cn.k6,0.008797168605169691
Equilibrium,Mixture of nine (3G+3L+3O),ln.k6,0.012093328396011906
Equilibrium,SG - P. clandestinum,om.k6,-2.3266566178227887e-05
Equilibrium,SG - P. clandestinum,c.k6,0.003525883112917267
Equilibrium,SG - P. clandestinum,n.k6,0.018923863334631273
Equilibrium,SG - P. clandestinum,hemi.k6,0.004797046975652248
Equilibrium,SG - P. clandestinum,cell.k6,0.005735379293906005
Equilibrium,SG - P. clandestinum,lig.k6,0.011280460053492833
Equilibrium,SG - P. clandestinum,cn.k6,0.005485628604752893
Equilibrium,SG - P. clandestinum,ln.k6,0.01324020554532846
Equilibrium,SL - A. glucameus,om.k6,1.150865637348974e-4
Equilibrium,SL - A. glucameus,c.k6,0.003292013340493535
Equilibrium,SL - A. glucameus,n.k6,0.014602614197683135
Equilibrium,SL - A. glucameus,hemi.k6,0.008664432400170596
Equilibrium,SL - A. glucameus,cell.k6,0.00950347317099328
Equilibrium,SL - A. glucameus,lig.k6,0.008232352519258709
Equilibrium,SL - A. glucameus,cn.k6,0.00954750030348577
Equilibrium,SL - A. glucameus,ln.k6,0.014487839482250945
Equilibrium,SO - D. nagchana,om.k6,1.775348452664793e-4
Equilibrium,SO - D. nagchana,c.k6,0.0034307589273554076
Equilibrium,SO - D. nagchana,n.k6,0.015564602912607702
Equilibrium,SO - D. nagchana,hemi.k6,0.00807725242873636
Equilibrium,SO - D. nagchana,cell.k6,0.00785780062225324
Equilibrium,SO - D. nagchana,lig.k6,0.0073393492306681705
Equilibrium,SO - D. nagchana,cn.k6,0.008471956133283512
Equilibrium,SO - D. nagchana,ln.k6,0.012380546436596276
Equilibrium,Mixture of three (1G+1L+1O),om.k6,9.818775282251028e-5
Equilibrium,Mixture of three (1G+1L+1O),c.k6,0.0034293958255083522
Equilibrium,Mixture of three (1G+1L+1O),n.k6,0.015236111561128309
Equilibrium,Mixture of three (1G+1L+1O),hemi.k6,0.0070876227917349675
Equilibrium,Mixture of three (1G+1L+1O),cell.k6,0.008245263490477389
Equilibrium,Mixture of three (1G+1L+1O),lig.k6,0.008909757852113266
Equilibrium,Mixture of three (1G+1L+1O),cn.k6,0.008979207109179873
Equilibrium,Mixture of three (1G+1L+1O),ln.k6,0.014459569135784786
Equilibrium,Mixture of nine (3G+3L+3O),om.k6,1.9513545049871898e-4
Equilibrium,Mixture of nine (3G+3L+3O),c.k6,0.0035078041745255396
Equilibrium,Mixture of nine (3G+3L+3O),n.k6,0.015616503650891294
Equilibrium,Mixture of nine (3G+3L+3O),hemi.k6,0.007624726301281404
Equilibrium,Mixture of nine (3G+3L+3O),cell.k6,0.007690475901543276
Equilibrium,Mixture of nine (3G+3L+3O),lig.k6,0.007609718988428973
Equilibrium,Mixture of nine (3G+3L+3O),cn.k6,0.008744283243070035
Equilibrium,Mixture of nine (3G+3L+3O),ln.k6,0.012846198056973469
